eps,init_id,final_loss,final_theta_dist,theta1,theta2
0.5,1,0.014361302368342876,0.3182295858860016,1.1948418617248535,1.2516082525253296
0.5,2,0.014323091134428978,0.5451510548591614,1.3769893646240234,1.3937876224517822
0.5,3,0.01432251650840044,0.5627181529998779,1.402117133140564,1.3936413526535034
0.5,4,0.01432251837104559,0.5623007416725159,1.401528000831604,1.393646240234375
0.5,5,0.014322664588689804,0.5518199801445007,1.389549732208252,1.3908405303955078
0.5,6,0.014404385350644588,0.30634263157844543,1.0993424654006958,1.2897876501083374
0.5,7,0.014323362149298191,0.5414865016937256,1.3715853691101074,1.3938679695129395
0.5,8,0.01432251837104559,0.5628284215927124,1.4022722244262695,1.3936405181884766
0.5,9,0.014336228370666504,0.4585120975971222,1.2782824039459229,1.364406704902649
0.5,10,0.01432251837104559,0.5628281235694885,1.4022719860076904,1.393640398979187
0.5,11,0.014322536997497082,0.5596073865890503,1.3977324962615967,1.393661379814148
0.5,12,0.014322523958981037,0.5610650181770325,1.3997772932052612,1.3936649560928345
0.5,13,0.014324571937322617,0.416959285736084,1.4022901058197021,1.1096253395080566
0.5,14,0.014331662096083164,0.4915013313293457,1.3009775876998901,1.3885692358016968
0.5,15,0.014323133043944836,0.5445253849029541,1.376108169555664,1.393764615058899
0.5,16,0.0143332714214921,0.4628733992576599,1.2925630807876587,1.3586901426315308
0.5,17,0.014340562745928764,0.29214173555374146,1.2678515911102295,1.1166290044784546
0.5,18,0.014328546822071075,0.5076277852058411,1.3200527429580688,1.3940205574035645
0.5,19,0.01432251837104559,0.5628278851509094,1.4022713899612427,1.3936406373977661
0.2,0,0.010358106344938278,0.5214208960533142,1.3955563306808472,1.339727759361267
0.2,1,0.01041630282998085,0.2838783264160156,1.1897560358047485,1.2111387252807617
0.2,2,0.010358932428061962,0.5031580328941345,1.3711047172546387,1.3397783041000366
0.2,3,0.010358106344938278,0.521389365196228,1.3955148458480835,1.3397276401519775
0.2,4,0.010358106344938278,0.5209760665893555,1.3949681520462036,1.3397296667099
0.2,5,0.010358312167227268,0.5109723210334778,1.3834067583084106,1.3377749919891357
0.2,6,0.010481810197234154,0.2640276849269867,1.0941075086593628,1.2466868162155151
0.2,7,0.010359327308833599,0.4992680847644806,1.3657881021499634,1.3398053646087646
0.2,8,0.010358106344938278,0.5214940309524536,1.3956530094146729,1.3397274017333984
0.2,9,0.010378532111644745,0.41708695888519287,1.2731431722640991,1.3152052164077759
0.2,10,0.010358106344938278,0.5214940309524536,1.3956531286239624,1.3397272825241089
0.2,11,0.010358132421970367,0.5182393193244934,1.39134681224823,1.339734673500061
0.2,12,0.01035811472684145,0.5197224020957947,1.3933082818984985,1.3397351503372192
0.2,13,0.01036083698272705,0.4030243158340454,1.3956499099731445,1.076744794845581
0.2,14,0.010371679440140724,0.44744202494621277,1.295767068862915,1.335747241973877
0.2,15,0.010358991101384163,0.5025151371955872,1.370238184928894,1.3397722244262695
0.2,16,0.010374084115028381,0.4228660762310028,1.2873802185058594,1.3102068901062012
0.2,17,0.01038473378866911,0.2753640413284302,1.2627167701721191,1.0824940204620361
0.2,18,0.010367019101977348,0.46322041749954224,1.314746379852295,1.3398644924163818
0.2,19,0.010358106344938278,0.5214934945106506,1.3956525325775146,1.3397271633148193
0.1,0,0.007174622733145952,0.4705886244773865,1.3695911169052124,1.291300654411316
0.1,1,0.0072483946569263935,0.24491474032402039,1.1721526384353638,1.1742030382156372
0.1,2,0.00717553636059165,0.4535919725894928,1.3476685285568237,1.2913284301757812
