theta1,theta2,J,J_eps
-2.63265306122449,-2.2653061224489797,0.07349366694688797,0.032622795552015305
-2.63265306122449,-2.142857142857143,0.07339543849229813,0.032590776681900024
-2.63265306122449,-2.020408163265306,0.07330102473497391,0.03255986049771309
-2.63265306122449,-1.8979591836734695,0.07321039587259293,0.032530054450035095
-2.63265306122449,-1.7755102040816326,0.07312355935573578,0.03250135853886604
-2.63265306122449,-1.653061224489796,0.07304050773382187,0.03247376158833504
-2.63265306122449,-1.5306122448979593,0.07296125590801239,0.03244727477431297
-2.63265306122449,-1.4081632653061225,0.07288580387830734,0.03242189437150955
-2.63265306122449,-1.2857142857142858,0.07281413674354553,0.03239762410521507
-2.63265306122449,-1.163265306122449,0.07274625450372696,0.03237445652484894
-2.63265306122449,-1.0408163265306123,0.07268217206001282,0.03235239535570145
-2.63265306122449,-0.9183673469387754,0.07262187451124191,0.0323314405977726
-2.63265306122449,-0.795918367346939,0.07256536930799484,0.03231159225106239
-2.63265306122449,-0.6734693877551021,0.07251264899969101,0.032292842864990234
-2.63265306122449,-0.5510204081632653,0.07246372103691101,0.032275207340717316
-2.63265306122449,-0.4285714285714288,0.07241858541965485,0.03225867822766304
-2.63265306122449,-0.30612244897959195,0.07237723469734192,0.03224325180053711
-2.63265306122449,-0.18367346938775508,0.07233966886997223,0.03222893178462982
-2.63265306122449,-0.06122448979591866,0.07230589538812637,0.03221571445465088
-2.63265306122449,0.06122448979591821,0.07227590680122375,0.03220360726118088
-2.63265306122449,0.18367346938775508,0.07224971055984497,0.03219260647892952
-2.63265306122449,0.30612244897959195,0.07222730666399002,0.03218270465731621
-2.63265306122449,0.4285714285714284,0.07220868021249771,0.03217391297221184
-2.63265306122449,0.5510204081632653,0.07219385355710983,0.03216622769832611
-2.63265306122449,0.6734693877551021,0.07218281179666519,0.03215964511036873
-2.63265306122449,0.7959183673469385,0.07217555493116379,0.03215416893362999
-2.63265306122449,0.9183673469387754,0.07217209041118622,0.032149799168109894
-2.63265306122449,1.0408163265306118,0.07217241823673248,0.03214653953909874
-2.63265306122449,1.1632653061224492,0.07217653840780258,0.03214437887072563
-2.63265306122449,1.2857142857142856,0.07218444347381592,0.032143328338861465
-2.63265306122449,1.408163265306122,0.07219614088535309,0.03214338421821594
-2.63265306122449,1.5306122448979593,0.07221163064241409,0.032144542783498764
-2.63265306122449,1.6530612244897958,0.07223092019557953,0.03214680776000023
-2.63265306122449,1.7755102040816322,0.0722539871931076,0.032150182873010635
-2.63265306122449,1.8979591836734695,0.07228085398674011,0.032154664397239685
-2.63265306122449,2.020408163265306,0.07231151312589645,0.03216024860739708
-2.63265306122449,2.1428571428571423,0.07234597951173782,0.032166942954063416
-2.63265306122449,2.2653061224489797,0.07238423079252243,0.032174743711948395
-2.63265306122449,2.387755102040816,0.07242627441883087,0.03218364715576172
-2.63265306122449,2.5102040816326525,0.07247212529182434,0.032193660736083984
-2.63265306122449,2.63265306122449,0.07252176851034164,0.03220478817820549
-2.63265306122449,2.7551020408163263,0.07257521152496338,0.03221701458096504
-2.63265306122449,2.8775510204081627,0.07263244688510895,0.032230351120233536
-2.63265306122449,3.0,0.07269349694252014,0.03224479779601097
-2.510204081632653,-3.0,0.06941140443086624,0.03155839443206787
-2.510204081632653,-2.877551020408163,0.06929025053977966,0.03151966258883476
-2.510204081632653,-2.7551020408163267,0.06917290389537811,0.031482040882110596
-2.510204081632653,-2.63265306122449,0.06905936449766159,0.03144553303718567
-2.510204081632653,-2.510204081632653,0.0689496248960495,0.031410131603479385
-2.510204081632653,-2.387755102040816,0.06884368509054184,0.03137584403157234
-2.510204081632653,-2.2653061224489797,0.06874153763055801,0.03134265914559364
-2.510204081632653,-2.142857142857143,0.06864319741725922,0.031310588121414185
-2.510204081632653,-2.020408163265306,0.06854865700006485,0.03127962350845337
-2.510204081632653,-1.8979591836734695,0.06845790892839432,0.031249767169356346
-2.510204081632653,-1.7755102040816326,0.06837095320224762,0.031221020966768265
-2.510204081632653,-1.653061224489796,0.06828780472278595,0.031193381175398827
-2.510204081632653,-1.5306122448979593,0.06820844858884811,0.03116685524582863
-2.510204081632653,-1.4081632653061225,0.06813287734985352,0.031141432002186775
-2.510204081632653,-1.2857142857142858,0.06806111335754395,0.031117118895053864
-2.510204081632653,-1.163265306122449,0.06799314171075821,0.031093915924429893
-2.510204081632653,-1.0408163265306123,0.06792896240949631,0.031071817502379417
-2.510204081632653,-0.9183673469387754,0.06786857545375824,0.031050827354192734
-2.510204081632653,-0.795918367346939,0.067811980843544,0.031030945479869843
-2.510204081632653,-0.6734693877551021,0.06775917857885361,0.031012171879410744
-2.510204081632653,-0.5510204081632653,0.06771017611026764,0.030994506552815437
-2.510204081632653,-0.4285714285714288,0.06766495108604431,0.030977947637438774
-2.510204081632653,-0.30612244897959195,0.06762353330850601,0.030962493270635605
-2.510204081632653,-0.18367346938775508,0.06758590042591095,0.030948150902986526
-2.510204081632653,-0.06122448979591866,0.06755205988883972,0.03093491680920124
-2.510204081632653,0.06122448979591821,0.06752200424671173,0.0309227854013443
-2.510204081632653,0.18367346938775508,0.06749574840068817,0.0309117641299963
-2.510204081632653,0.30612244897959195,0.06747328490018845,0.030901847407221794
-2.510204081632653,0.4285714285714284,0.06745461374521255,0.03089304268360138
-2.510204081632653,0.5510204081632653,0.0674397274851799,0.030885344371199608
-2.510204081632653,0.6734693877551021,0.06742864102125168,0.03087875247001648
-2.510204081632653,0.7959183673469385,0.06742134690284729,0.030873265117406845
-2.510204081632653,0.9183673469387754,0.06741785258054733,0.03086889162659645
-2.510204081632653,1.0408163265306118,0.06741813570261002,0.0308656208217144
-2.510204081632653,1.1632653061224492,0.06742221862077713,0.030863462015986443
-2.510204081632653,1.2857142857142856,0.06743010133504868,0.03086240589618683
-2.510204081632653,1.408163265306122,0.06744176894426346,0.030862461775541306
-2.510204081632653,1.5306122448979593,0.06745723634958267,0.030863624066114426
-2.510204081632653,1.6530612244897958,0.06747650355100632,0.030865894630551338
-2.510204081632653,1.7755102040816322,0.0674995630979538,0.030869275331497192
-2.510204081632653,1.8979591836734695,0.0675264224410057,0.03087375871837139
-2.510204081632653,2.020408163265306,0.06755706667900085,0.03087935596704483
-2.510204081632653,2.1428571428571423,0.06759152561426163,0.030886059626936913
-2.510204081632653,2.2653061224489797,0.06762977689504623,0.030893871560692787
-2.510204081632653,2.387755102040816,0.06767182052135468,0.030902791768312454
-2.510204081632653,2.5102040816326525,0.06771767884492874,0.03091282583773136
-2.510204081632653,2.63265306122449,0.06776732951402664,0.030923962593078613
-2.510204081632653,2.7551020408163263,0.06782078742980957,0.030936211347579956
-2.510204081632653,2.8775510204081627,0.06787804514169693,0.03094957023859024
-2.510204081632653,3.0,0.06793911010026932,0.030964037403464317
-2.387755102040816,-3.0,0.06482041627168655,0.03031596727669239
-2.387755102040816,-2.877551020408163,0.06469912081956863,0.030277173966169357
-2.387755102040816,-2.7551020408163267,0.06458163261413574,0.030239494517445564
-2.387755102040816,-2.63265306122449,0.06446795165538788,0.030202923342585564
-2.387755102040816,-2.510204081632653,0.06435807794332504,0.030167466029524803
-2.387755102040816,-2.387755102040816,0.06425199657678604,0.030133116990327835
-2.387755102040816,-2.2653061224489797,0.06414972990751266,0.030099879950284958
-2.387755102040816,-2.142857142857143,0.06405126303434372,0.03006775677204132
-2.387755102040816,-2.020408163265306,0.0639566034078598,0.030036745592951775
-2.387755102040816,-1.8979591836734695,0.06386572867631912,0.03000684082508087
-2.387755102040816,-1.7755102040816326,0.06377866864204407,0.02997804619371891
-2.387755102040816,-1.653061224489796,0.06369540095329285,0.02995036169886589
-2.387755102040816,-1.5306122448979593,0.06361593306064606,0.02992379106581211
-2.387755102040816,-1.4081632653061225,0.0635402724146843,0.029898326843976974
