state_dim,init_id,condition,final_loss,final_theta_dist,converged,conv_step
128,7,raw,6.45044266889272e-08,0.004281512927263975,1,357
128,8,raw,0.0,0.0,1,18
128,9,raw,6.827654033259023e-06,0.04475480318069458,1,490
128,10,raw,2.6006654411618246e-17,3.5762786865234375e-07,1,89
128,11,raw,2.1952809362013603e-11,7.778634608257562e-05,1,257
128,12,raw,9.046765615285113e-13,1.56256282934919e-05,1,236
128,13,raw,1.9579313175199786e-06,0.14989054203033447,0,500
128,14,raw,3.635744860730483e-06,0.032355502247810364,1,465
128,15,raw,3.601689968490973e-08,0.0031961256172508,1,346
128,16,raw,4.677311608247692e-06,0.03746868669986725,1,477
128,17,raw,1.077681463357294e-05,0.16033199429512024,0,500
128,18,raw,1.8704353124121553e-06,0.023180702701210976,1,442
128,19,raw,0.0,0.0,1,6
128,0,smooth,0.0076874191872775555,0.7612347602844238,0,500
128,1,smooth,0.007742156740278006,0.4205709993839264,1,368
128,2,smooth,0.007689392194151878,0.7101579308509827,0,500
128,3,smooth,0.007687419652938843,0.7609031796455383,0,500
128,4,smooth,0.007687434088438749,0.758002758026123,0,500
128,5,smooth,0.007688139099627733,0.7295145988464355,1,198
128,6,smooth,0.007789775729179382,0.3495754599571228,0,500
128,7,smooth,0.007690055295825005,0.701874852180481,0,500
128,8,smooth,0.007687416858971119,0.7628080248832703,0,500
128,9,smooth,0.007710752077400684,0.5706080794334412,0,500
128,10,smooth,0.007687416858971119,0.7628082036972046,0,500
128,11,smooth,0.0076875886879861355,0.7472748160362244,0,500
128,12,smooth,0.007687493693083525,0.7523747682571411,0,500
128,13,smooth,0.007689650636166334,0.6791326403617859,0,500
128,14,smooth,0.007704253774136305,0.6088260412216187,0,500
128,15,smooth,0.007689500227570534,0.7088204026222229,0,500
128,16,smooth,0.007706592790782452,0.583929181098938,0,500
128,17,smooth,0.0077162329107522964,0.46248915791511536,0,500
128,18,smooth,0.0076995231211185455,0.634624719619751,0,500
128,19,smooth,0.007687416858971119,0.7628070712089539,0,500
