label,init_id,final_loss,final_theta_dist,converged,conv_step,theta1_final,theta2_final
smooth_sym + Adam,4,1.1640100138224986e-16,2.528810796320613e-07,1,203,0.9999998211860657,0.9999998211860657
smooth_sym + Adam,5,1.0141513184791506e-09,0.0008459575474262238,1,307,0.9991556406021118,0.9999480247497559
smooth_sym + Adam,6,3.507508154143579e-05,0.16366876661777496,0,500,0.8406235575675964,0.962762713432312
smooth_sym + Adam,7,2.777447782875697e-08,0.004444857593625784,1,358,0.9955551624298096,0.9999865889549255
smooth_sym + Adam,8,0.0,0.0,1,18,1.0,1.0
smooth_sym + Adam,9,2.6719130801211577e-06,0.044191695749759674,1,489,0.9561099410057068,0.9948455095291138
smooth_sym + Adam,10,1.7452811130070664e-17,3.5762786865234375e-07,1,89,1.0,0.9999996423721313
smooth_sym + Adam,11,1.1341263865538576e-11,8.84542751009576e-05,1,258,0.9999115467071533,0.9999995827674866
smooth_sym + Adam,12,5.07243877977126e-13,1.8604385331855156e-05,1,237,0.9999814033508301,0.999999463558197
smooth_sym + Adam,13,9.017600177685381e-07,0.15135324001312256,0,500,0.9999837875366211,0.8486467599868774
smooth_sym + Adam,14,1.4405412684936891e-06,0.032208047807216644,1,465,0.9677938222885132,0.9996528625488281
smooth_sym + Adam,15,1.5687776411255072e-08,0.003337335539981723,1,347,0.9966626763343811,0.9999911189079285
smooth_sym + Adam,16,1.8431650232741958e-06,0.037053998559713364,1,476,0.9635757207870483,0.9931977391242981
smooth_sym + Adam,17,4.251915015629493e-06,0.15464338660240173,0,500,0.9504005908966064,0.8535265326499939
smooth_sym + Adam,18,7.508213002438424e-07,0.02322978712618351,1,442,0.976770281791687,0.9999433159828186
smooth_sym + Adam,19,0.0,0.0,1,6,1.0,1.0
raw + L-BFGS,0,4.5237921048046914e-11,0.0003900477022398263,1,0,1.0000689029693604,0.9996160864830017
raw + L-BFGS,1,1.358961693176397e-10,0.0008472639019601047,1,1,0.9999109506607056,1.000842571258545
raw + L-BFGS,2,2.1425788920836908e-10,0.0012230407446622849,1,1,0.9999393820762634,1.0012215375900269
raw + L-BFGS,3,2.282709828452245e-12,2.09487225220073e-05,1,1,1.0000203847885132,0.9999951720237732
raw + L-BFGS,4,2.134371672457558e-11,6.863939779577777e-05,1,1,0.9999377727508545,1.0000289678573608
raw + L-BFGS,5,8.686628499843252e-11,0.0004176390648353845,1,1,0.9998905658721924,1.0004030466079712
raw + L-BFGS,6,2.1211432610357406e-10,0.001259170239791274,1,1,0.9999667406082153,1.0012587308883667
raw + L-BFGS,7,3.221449149104494e-11,0.0004138731164857745,1,1,0.9999569654464722,1.0004116296768188
raw + L-BFGS,8,1.1467276780918745e-11,4.837092274101451e-05,1,1,1.000045657157898,0.9999840259552002
raw + L-BFGS,9,1.6504501931802196e-10,0.0007879232871346176,1,1,1.0001256465911865,1.0007778406143188
raw + L-BFGS,10,2.1732123045570262e-10,0.0002038554521277547,1,1,1.0001989603042603,0.9999555945396423
raw + L-BFGS,11,2.157656553425369e-10,0.0012164338259026408,1,1,0.999933660030365,0.9987853765487671
raw + L-BFGS,12,7.721204751953703e-12,0.00017532103811390698,1,1,0.9999736547470093,1.0001733303070068
raw + L-BFGS,13,1.46760189518127e-15,3.337860107421875e-06,1,1,1.0,1.0000033378601074
raw + L-BFGS,14,2.0564553532276264e-11,0.0003941904869861901,1,1,0.9999918341636658,1.0003941059112549
raw + L-BFGS,15,2.3186781661355127e-10,0.0010453767608851194,1,1,0.9998703002929688,0.9989627003669739
raw + L-BFGS,16,1.0314365680996751e-11,0.0002816915512084961,1,1,0.9999999403953552,1.0002816915512085
raw + L-BFGS,17,2.969188228618691e-10,0.0014742283383384347,1,1,1.0000520944595337,1.001473307609558
raw + L-BFGS,18,3.7665878749315596e-10,0.0016278175171464682,1,1,0.9999221563339233,0.9983740448951721
raw + L-BFGS,19,3.4514749456919513e-14,2.5288109100074507e-06,1,0,1.0000025033950806,1.0000003576278687
smooth_sym + L-BFGS,0,1.550786582482644e-10,0.0003712721518240869,1,1,1.0003376007080078,1.0001544952392578
smooth_sym + L-BFGS,1,3.665880793368714e-11,0.0009615325252525508,1,1,0.9999741315841675,1.000961184501648
smooth_sym + L-BFGS,2,2.057422288093136e-11,0.00013680412666872144,1,1,0.9998770952224731,1.0000600814819336
